root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:19:17.935772 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 3649076303:3649076387, ack 704802797, win 501, length 84
20:19:17.936497 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 84:192, ack 1, win 501, length 108
20:19:17.936543 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 192:228, ack 1, win 501, length 36
20:19:17.936576 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 228:280, ack 1, win 501, length 52
20:19:17.936607 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 280:348, ack 1, win 501, length 68
20:19:17.936637 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 348:416, ack 1, win 501, length 68
20:19:17.936664 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 416:452, ack 1, win 501, length 36
20:19:17.948683 IP 99.228.153.224.50332 > 178.128.236.45.22: Flags [.], ack 452, win 4106, length 0
20:19:18.035089 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 452:624, ack 1, win 501, length 172
20:19:18.035171 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 624:660, ack 1, win 501, length 36
20:19:18.035261 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 660:808, ack 1, win 501, length 148
20:19:18.035305 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 808:844, ack 1, win 501, length 36
20:19:18.035366 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 844:992, ack 1, win 501, length 148
20:19:18.035398 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 992:1028, ack 1, win 501, length 36
20:19:18.035503 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 1028:1176, ack 1, win 501, length 148
20:19:18.035531 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 1176:1212, ack 1, win 501, length 36
20:19:18.035567 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 1212:1360, ack 1, win 501, length 148
20:19:18.035594 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 1360:1396, ack 1, win 501, length 36
20:19:18.035644 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 1396:1544, ack 1, win 501, length 148
20:19:18.035688 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 1544:1580, ack 1, win 501, length 36
20:19:18.035722 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 1580:1728, ack 1, win 501, length 148
20:19:18.035748 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 1728:1764, ack 1, win 501, length 36
20:19:18.035783 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 1764:1904, ack 1, win 501, length 140
20:19:18.035812 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 1904:1940, ack 1, win 501, length 36
20:19:18.052982 IP 99.228.153.224.50332 > 178.128.236.45.22: Flags [.], ack 1940, win 4106, length 0
20:19:18.138977 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 1940:2088, ack 1, win 501, length 148
20:19:18.139044 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 2088:2124, ack 1, win 501, length 36
20:19:18.139105 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 2124:2272, ack 1, win 501, length 148
20:19:18.139133 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 2272:2308, ack 1, win 501, length 36
20:19:18.139169 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 2308:2456, ack 1, win 501, length 148
20:19:18.139196 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 2456:2492, ack 1, win 501, length 36
20:19:18.139232 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 2492:2640, ack 1, win 501, length 148
20:19:18.139259 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 2640:2676, ack 1, win 501, length 36
20:19:18.139299 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 2676:2824, ack 1, win 501, length 148
20:19:18.139330 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 2824:2860, ack 1, win 501, length 36
20:19:18.139368 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 2860:3008, ack 1, win 501, length 148
20:19:18.139404 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 3008:3044, ack 1, win 501, length 36
20:19:18.139446 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 3044:3192, ack 1, win 501, length 148
20:19:18.139478 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 3192:3228, ack 1, win 501, length 36
20:19:18.139530 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 3228:3376, ack 1, win 501, length 148
20:19:18.139560 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 3376:3412, ack 1, win 501, length 36
20:19:18.139599 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 3412:3560, ack 1, win 501, length 148
20:19:18.139627 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 3560:3596, ack 1, win 501, length 36
20:19:18.139680 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 3596:3744, ack 1, win 501, length 148
20:19:18.139717 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 3744:3780, ack 1, win 501, length 36
20:19:18.139770 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 3780:3928, ack 1, win 501, length 148
20:19:18.139804 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 3928:3964, ack 1, win 501, length 36
20:19:18.139855 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 3964:4112, ack 1, win 501, length 148
20:19:18.139917 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 4112:4148, ack 1, win 501, length 36
20:19:18.139975 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 4148:4296, ack 1, win 501, length 148
20:19:18.140004 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 4296:4332, ack 1, win 501, length 36
20:19:18.140041 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 4332:4480, ack 1, win 501, length 148
